question;answer
"Добрый день! Наш вопрос касается применения/неприменения постановления N 102.
Планируем закупить наконечники стоматологические турбинные для областной стоматологической поликлиники. Это наименование соответствует коду КТРУ 32.50.11.000-00000068 (Наконечник бормашины стоматологической, пневматический).
В постановлении N 102 есть ограничение на код ОКПД2 32.50.13.190, где среди наименований числятся «наконечники стоматологические турбинные».
Как вы считаете, необходимо ли применять постановление N 102 к коду 32.50.11.000-00000068?
Или стоит проводить закупку наконечников по коду 32.50.13.190 и только тогда применять постановление N 102?
И не будет ли нарушением закупка наконечников по коду 32.50.11.000-00000068 без ограничений по постановлению N 102?";"При формировании извещения с применением КТРУ заказчик, помимо позиции КТРУ, соотносит код закупаемого товара (работы, услуги) с кодом ОКПД 2. Позиция КТРУ 32.50.11.000-00000068 образована от кода ОКПД2 32.50.11.000 Инструменты и приспособления стоматологические, который в настоящее время исключен из Классификатора ОКПД2. В справочной информации позиции КТРУ содержится код ОКПД 2 32.50.11.110 Аппараты, инструменты и приспособления стоматологические, с которым заказчик вправе соотнести закупаемый товар. Код ОКПД 2 32.50.13.190 в позиции КТРУ не содержится, поэтому, на наш взгляд, у заказчика нет оснований его использовать. 
Наконечники стоматологические турбинные включены в ПП № 102 (перечень 1) с кодом ОКПД 2 32.50.13.190. С кодом ОКПД 2 32.50.11.000 в ПП № 102 (перечень 1) включены иглы корневые. Согласно примечанию к перечню N 1 пп № 102, при применении перечня 1 следует руководствоваться как кодом в соответствии с ОКПД 2, так и наименованием вида медицинского изделия. Так как закупаемые медицинские изделия с кодом ОКПД 2 32.50.11.110, установленным заказчиком, не входят в перечень N 1 ПП № 102, нет оснований для установления ограничения допуска по ПП № 102. Аналогичный вывод сделан в решении Управления Федеральной антимонопольной службы по Новосибирской области от 19 июня 2020 г. N 054/06/14-1090/2020 (извещение N 0851200000620002926)."
Здравствуйте, скажите, в цифровом контракте в п.6 документы сформированные без использования ЕИС, прикрепляем только те пункты контракта, которые не сформировались в структурированном контракте или весь контракт, т.е. дублируем?;"Из п. 1 ч. 2 ст. 51 Закона № 44-ФЗ следует, что к цифровому контракту необходимо приложить проект контракта на основе формы, которая прилагалась к извещению. Но законом не установлено, в каком виде прилагать к закупке проект контракта, который потом будет заключен в структурированной форме. Разъяснений на данную тему также нет. Варианты, которые используются заказчиками:
- приложить полный контракт, как раньше. Особенно это актуально, если должен применяться типовой контракт. Имеет название «Проект контракта» и содержит всю информацию, предусмотренную законодательством о закупках. Часть из этой информации впоследствии будет перенесены в структурированную форму цифрового контракта, 
- предоставление проекта контракта в виде заполненной таблицы (как выглядит в ЕИС структурированная форма) с приложением дополнительных условий, которые не повторяются в структурированной части в отдельном файле. При заключении нельзя удалять заполненную таблицу. Она будет дублироваться дважды (в ЕИС в структуре и в прикрепленных файлах). Удаление таблицы при заключении контракта может быть признано нарушением. Документ может назваться «Приложение к цифровому контракту» отражать те положения контракта, которые должны быть в нем согласно закону, но не попали в цифровую форму,
- предоставление проекта контракта в виде дополнительных условий, которые не повторяются в структурированной части,
- любой иной вариант
В электронном виде система формирует только «титульный лист» контракта (карточка контракта), остальную информацию готовят в отдельном файле на бумаге и прикладывают к цифровому контракту. Требований к оформлению нет, поэтому заказчик сам решает, как прикрепить не вошедшие в структуру условия — единым файлом контракта со всеми условиями либо приложить несколько разных файлов.
Часть данных в структуре и прикрепленных файлах может быть продублирована и при наличии разночтений приоритет будет у тех параметров, которые указаны в структурированном виде (ч. 4 ст. 5 Закона № 44-ФЗ). 
Тема цифрового контракта подробно разобрана на нашем вебинаре, вы можете посмотреть его запись и скачать презентацию https://zakupki44fz.ru/blog/webinars/strukturirovannyj-kontrakt-pervye-itogi/ "
"подскажи, пожалуйста, какой-то дельный совет можем дать или нет? У пользователя всего 5 позиций, но, в соответствии с НПА, все это делится аж на 4 закупки. Каждая примерно по 700-800 рублей. Прямым не получится заключиться по каким-то внутренним причинам. 

Как бы это все оптимизировать, и не создавать закупки на такие смешные суммы?
21.20.24.131-00000022
21.20.24.110-00000002
21.20.24.150-00000049
32.50.13.190-00007709
32.50.50.190-00002138";"Я вижу здесь 3 закупки:
1) 21.20.24.131-00000022, 21.20.24.110-00000002, 32.50.13.190-00007709 - устанавливаем: приказ № 126н (П1), ПП № 102 (П1). 
Здесь может быть вопрос с ПП № 102 (П1) для 21.20.24.131-00000022. Но практика показывает, что установление правомерно (Решение Управления Федеральной антимонопольной службы по Республике Дагестан от 14 сентября 2022 г. N 005/06/106-1752/2022 (изв. N 0303100021122000029), Решение Управления Федеральной антимонопольной службы по Новосибирской области от 23 марта 2023 г. N 054/06/14-474/2023 (изв. N 0351300047223000045), Решение Управления Федеральной антимонопольной службы по Воронежской области от 23 ноября 2022 г. N 036/06/106-1312/2022 (номер извещения 0131200001022012534)).
Еще здесь может быть вопрос по расп. 3500-р (ОИ) для 32.50.13.190-00007709. Справочный код ОКПД2 32.50.50.190 включен в 3500-р (ОИ). В письме Минфина России от 13.07.2023 № 24-03-08/65656 высказана позиция, что в тком случае надо устанавливать 3500-р. Но на практике я вижела решения, что 3500-р устанавливается только, если конкретная позиция КТРУ указана в приложении к письму Минфина России от 13.07.2023 № 24-03-08/65656. КТРУ 32.50.13.190-00007709 в приложении к письму не указано, поэтому я думаю, что можно без 3500-р (ОИ). Но, конечно, решать заказчику.
2) 21.20.24.150-00000049 - устанавливаем приказ № 126н и расп. 3500-р (ОИ). Ваты нет в ПП № 102.
3) 32.50.50.190-00002138 - устанавливаем ПП № 616 и расп. 3500-р (ОИ). Практика по ПП № 616 для данного КТРУ говорит, что нужно устанавливать (Решение Управления Федеральной антимонопольной службы по Красноярскому краю от 27 июля 2023 г. N 024/06/106-2109/2023, Решение Управления Федеральной антимонопольной службы по Камчатскому краю от 14 сентября 2022 г. N 041/06/49-366/2022 (закупка N 0338300047922000264), Решение Управления Федеральной антимонопольной службы по Челябинской области от 11 августа 2022 г. N 074/06/106-2170/2022 (извещение N 0369100044422000043)."
"Требуется закупить газоанализатор Полар Универсал” модификация “Полар Универсал Ех Т”, указанный в методике измерений. Замена на аналогичный невозможна, т.к. методика описывает конкретную модель.
Дополнительно: в КТРУ указано ограничение
Максимальная рабочая температура (Градус Цельсия)
Одно значение
Количественная
≤ 50;
≤ 100;
Минимальная рабочая температура (Градус Цельсия)
Одно значение
Количественная
≤ -50;
≤ -30;
≤ -20;
≤ -10;
Неясно-это температура замеряемого газа, либо ограничение для прибора.
В характеристиках отсутствует параметр:Температура газового потока, для данной модели составляет °С от минус 20 до плюс 800 включительно.
Относительная влажность воздуха при выполнении измерений (при температуре 25°С), %
Атмосферное давление при выполнении измерений.
Отсутствует параметр диапазоны показаний газоанализатора.";"По вопросам, связанным со значениями характеристик, содержащихся в КТРУ, рекомендуем обратиться в Минфин России, так как именно данное ведомство занимается ведением и наполнением Каталога.
Данный товар включен в перечень Постановления Правительства РФ от 10 июля 2019 г. N 878, поэтому при его заупке необходимо устанавливать ограничения допуска иностранной радиоэлектронной продукции по ПП № 878. 
В каталоге ТРУ содержатся позиции 26.51.53.000-00000001 - 26.51.53.000-00000004 - Газоанализатор с наступившей датой начала обязательного применения. Следовательно, заказчик обязан использовать данные позиции и указывать в соответствии с ними: 
- наименование товара, работы, услуги;
- единицы измерения количества товара, объема выполняемой работы, оказываемой услуги (при наличии);
- описание товара, работы, услуги (при наличии такого описания в позиции) (п. 4 Правил использованя КТРУ (утв. постановлением Правительства РФ от 8 февраля 2017 г. N 145)).
Дополнительные характеристики, не предусмотренные позицией КТРУ, заказчик указать в данном случае не вправе из-за установления ограничения допуска по ПП № 878 (подп. ""а"" п. 5 Правил использования КТРУ). 
Неиспользование позиции КТРУ и не установление огранчения по ПП № 878 могут быть признаны неправомерным (например, решение Управления Федеральной антимонопольной службы по Московской области от 24 июня 2022 г. N 050/06/105-22048/2022 (извещение N 0848300053822000270)). 
Однако, в соответствии с п. 7 Правил использования КТРУ, если в Каталоге ТРУ отсутствуют соответствующие позиции, заказчик осуществляет описание товара, работы, услуги в соответствии с требованиями статьи 33 Федерального закона. При проведении предусмотренных Федеральным законом электронных процедур, закрытых электронных процедур характеристики объекта закупки, предусмотренные пунктом 1 части 1 статьи 33 Федерального закона, указываются с использованием единой информационной системы при формировании извещения об осуществлении закупки, приглашения принять участие в определении поставщика (подрядчика, исполнителя) в соответствии с частью 1 статьи 42, пунктом 1 части 1 статьи 75 Федерального закона соответственно. В качестве кода каталога товара, работы, услуги, на которые в каталоге отсутствует соответствующая позиция, указывается код такого товара, работы, услуги согласно Общероссийскому классификатору продукции по видам экономической деятельности (ОКПД2) ОК 034-2014.
Таким образом, если содержащиеся в КТРУ характеристики не подходят закупаемому товару, заказчик вправе самостоятельно описать товар, применяя код ОКПД 2. Но необходимо обоснование. Например, в перечне видов обнаруживаемых газов в КТРУ отсутствуют необходимые заказчику вещества.
Примеры решений контрльных органов, в которых рассматривались закупки газоанализаторов с описанием по ОКПД 2: решение Управления Федеральной антимонопольной службы по Тюменской области от 19 июня 2023 г. N 072/06/44/97/2023 (реестровый номер закупки 0367100025623000005), решение Управления Федеральной антимонопольной службы по Новосибирской области от 5 мая 2023 г. N 054/06/33-855/2023 (изв. № 0351100014923000003). В последнем решении был вопрос о правомерности неприменения позиции КТРУ при описании объекта закупки."
Добрый день, состоялся аукцион на поставку мониторов и клавиатур, стоит 126н и 878 запрет. Подана всего одна заявка со страной происхождения Россия/Китай. Какую страну ставить в контракте и нужно ли делать понижение 15%;"В проект контракта переносится информация о стране происхождения товара из заявки участника (подп. ""д"" п. 1 ч. 2 ст. 51 Закона № 44-ФЗ). Если указано 2 страны, обе они указываются в контракте. Поставщик уточняет конкретную страну в документе о приемке товара. Нормы приказа № 126н о снижении цены контракта с участником, предлагающим иностранный товар, не применяются в случае, если закупка признанан несостоявшейся (в т.ч. вследствие подачи единственной заявки) (подп. ""а"" п. 2 приказа № 126н)"
Поставщик электроэнергии хочет внедрить электронное актирование. Тех. поддержка ЕИС рекомендует нам внести изменение в контракт: Способом указания цены контракта в ЕИС выбрать «Максимальное значение цены контракта» с признаком «Указание точного количества и цены за единицу поставляемого товара, выполняемых работ, оказываемых услуг только в ходе исполнения контракта (при формировании документов исполнения)». Обязательное поле для заполнения – Формула цены контракта. Формулу цены контракта Поставщик не может предоставить. Признака «Указание точного количества и цены за единицу поставляемого товара, выполняемых работ, оказываемых услуг только в ходе исполнения контракта (при формировании документов исполнения)» в карточке контракта я тоже не нахожу. И самое главное в Постановлении № 19 в случаях, когда устанавливается максимальная цена контракта, продажи электроэнергии нет. Можем ли мы ставить признак максимальная цена контракта в данном случае?;"Формула цены и максимальное значение цен контракта устанавливается только в случаях, предусмотренных Постановлением Правительства РФ от 13 января 2014 г. N 19. Договора поставки электроэнергии или энергообеспечения не включены в ПП № 19, поэтому формулу цены и максимальное значение цены контракта в данном случае указывать неправомерно.
Однако в данном случае в контаркте возможно указать ориентировочную цену контракта. Верховный суд РФ в Определении от 12.05.2017 № 304-ЭС17-4309 указал, что заказчик вправе указывать ориентировочную цену в контрактах с ресурсоснабжающими организациями. Суды отметили, что цена не является существенным условием договора энергоснабжения (закон 26.03.2003 № 35-ФЗ, пункты 40, 41, 78 Основных положений функционирования розничных рынков электрической энергии, утвержденные постановлением от 04.05.2012 №442). В связи со свободным характером установления на оптовом рынке средневзвешенной стоимости единицы электроэнергии окончательная цена за месяц устанавливается после завершения расчетного периода в рамках предельных уровней нерегулируемых цен. Не представляется возможным заблаговременно определить твердую стоимость электрической энергии до окончания расчетных периодов на момент заключения договора, а, следовательно, и установить твердую цену
договора. Нормы Закона № 35-ФЗ являются специальными по отношению к 44-ФЗ в связи с чем условия о количестве товара, его цене и цене договора, а также об ответственности за нарушение срока оплаты электроэнергии определяются на основании норм законодательства в сфере электроэнергетики (Обзор судебной практики Верховного Суда Российской Федерации №3 (2016)).
В случае установления ориентировочной цены в карточке контаркта в ЕИС необходимо отметить признак ""Ориентировочная цена контракта"". Тогда поставщик при электронном актировании сможет указывать цену, отличную от той, которая была внесена при регистрации информации о контракте."
В извещение и в тех.задании на поставку кондиционеров требование заказчика на “Мощность охлаждения, Вт не менее 2500. Участник указывает значение 2,5. Видимо имел ввиду кВт. Отклонять его заявку? Основание?;Формально, если участник указал значение характеристики, не соответствующее требованиям, указанным в извещении, его заявка должна быть отклонена на основании п. 1 ч. 12 ст. 48 Закона № 44-ФЗ (случаи непредставления (за исключением случаев, предусмотренных настоящим Федеральным законом) в заявке на участие в закупке информации и документов, предусмотренных извещением об осуществлении закупки в соответствии с настоящим Федеральным законом (за исключением информации и документов, предусмотренных пунктами 2 и 3 части 6 статьи 43 настоящего Федерального закона), несоответствия таких информации и документов требованиям, установленным в извещении об осуществлении закупки).
Добрый вечер, прошел аукцион на системные блоки. Был запрет 878 подразумевающий реестровые номера. 5 заявок, ни у кого реестровых номеров не было, страна товара у всех Россия. У пятого участника наименование организации одно, а документы приложены совершенно другой организации. По какому пункту,части и статье его отклонять?;"В соответствии с ч. 12 ст. 48 Закона № 44-ФЗ при рассмотрении вторых частей заявок на участие в закупке соответствующая заявка подлежит отклонению в случаях:
1) непредставления (за исключением случаев, предусмотренных настоящим Федеральным законом) в заявке на участие в закупке информации и документов, предусмотренных извещением об осуществлении закупки в соответствии с настоящим Федеральным законом (за исключением информации и документов, предусмотренных пунктами 2 и 3 части 6 статьи 43 настоящего Федерального закона), несоответствия таких информации и документов требованиям, установленным в извещении об осуществлении закупки;
2) непредставления информации и документов, предусмотренных пунктами 2 и 3 части 6 статьи 43 настоящего Федерального закона, несоответствия таких информации и документов требованиям, установленным в извещении об осуществлении закупки;
3) несоответствия участника закупки требованиям, установленным в извещении об осуществлении закупки в соответствии с частью 1 статьи 31 настоящего Федерального закона, требованиям, установленным в извещении об осуществлении закупки в соответствии с частями 1.1, 2 и 2.1 (при наличии таких требований) статьи 31 настоящего Федерального закона;
4) предусмотренных нормативными правовыми актами, принятыми в соответствии со статьей 14 настоящего Федерального закона (за исключением случаев непредставления информации и документов, предусмотренных пунктом 5 части 1 статьи 43 настоящего Федерального закона);
5) непредставления информации и документов, предусмотренных пунктом 5 части 1 статьи 43 настоящего Федерального закона, если такие документы предусмотрены нормативными правовыми актами, принятыми в соответствии с частью 3 статьи 14 настоящего Федерального закона (в случае установления в соответствии со статьей 14 настоящего Федерального закона в извещении об осуществлении закупки запрета допуска товаров, происходящих из иностранного государства или группы иностранных государств);
6) выявления отнесения участника закупки к организациям, предусмотренным пунктом 4 статьи 2 Федерального закона от 4 июня 2018 года N 127-ФЗ ""О мерах воздействия (противодействия) на недружественные действия Соединенных Штатов Америки и иных иностранных государств"", в случае осуществления закупки работ, услуг, включенных в перечень, определенный Правительством Российской Федерации в соответствии с указанным пунктом;
7) предусмотренных частью 6 статьи 45 настоящего Федерального закона;
8) выявления недостоверной информации, содержащейся в заявке на участие в закупке.
Если предоставленные документы юридического лица с аналогичным названием, но другим ИНН содержали информацию, которую необходимо было предоставить участнику закупки, то такая заявка подлежит отклонению по указанным выше основаниям.
Конкретное основание зависит от того, какие документы участника закупки отсутствуют.
Например, если для участника закупки отсутствуют документы, предусмотренные подпунктами ""а"" - ""л"" пункта 1 части 1 ст. 43 Закона № 44-ФЗ (наименование, ИНН, адрес и т.д.), то онованием для отклонения будет являться п. 2 ч. 12 ст. 48 Закона № 44-ФЗ. 
Если документы иной организации были приложены дополнительно, а документы (с верным ИНН) содержали все необходимые сведения, установленные извещением, то само по себе предоставление лишних документов не является основанием для отклонения заявки. Такая заявка должна быть допущена."
Добрый день, запускаем аукцион на средства индивидуальной защиты (халаты, каски, перчатки, колпаки и т.д). Стоит основное 617, но так же при размещении, ЕИС указывает, что по окпд 32.99.11.199 нужно установить 616 запрет, так как он распространяется на головные уборы из СИЗОВ. Можем ли мы установить одновременно в извещении и 616 и 617;"В перечень постановления Правительства РФ от 30 апреля 2020 г. N 616 включен пункт 146 с кодом ОКПД 2 32.99.11.190 - Уборы головные защитные и средства защиты прочие, не включенные в другие группировки (только в отношении головных уборов из текстильных материалов). Таким образом, по закупаемым головным уборам из текстильных материалов необходимо установить запрет допуска по ПП № 616, если закупка не подпадает под исключения из применения запрета, указанные в п. 3 ПП № 616. Например, согласно подп. ""б"" п. 3 ПП № 616 запрет не устанавливается при закупке одной единицы товара, стоимость которой не превышает 300 тыс. рублей, и закупки совокупности таких товаров, суммарная стоимость которых составляет менее 1 млн. рублей (за исключением закупок товаров, указанных в пунктах 28, 50, 142, 145 и 147 перечня). 
Кроме того, согласно п. 12 ПП № 616 не могут быть предметом одного контракта (одного лота) промышленные товары, включенные в перечень и не включенные в него (за исключением закупок промышленных товаров по государственному оборонному заказу). При этом медицинские маски не могут быть предметом одного контракта (одного лота) с другими отдельными видами промышленных товаров, включенных в перечень. Таким образом, вышеуказанные товары должны быть выделены в отдельную закупку. 
В Перечень постановления Правительства РФ от 30 апреля 2020 г. N 617 включен пункт 32.99.11.199 - Средства индивидуальной защиты прочие, не включенные в другие группировки. ПП № 617 не применяется в отношении товаров, работ, услуг, по которым установлены запреты по ст. 14 Закона № 44-ФЗ (п. 12 ПП № 617). Следовательно, при закупке иных СИЗ (кроме головных уборов из текстильных материалов), а также головных уборов из текстильных материалов в случе неустановлоения запрета по ПП № 616 необходимо установить ограничение допуска по ПП № 617."
"Подскажите пожалуйста, должно ли применяться ПП 878 к КТРУ КТРУ 28.25.14.111-00000017?
Данному КТРУ на сайте zakupki.gov.ru соответствует ОКПД 2: 28.25.14.111: Фильтры для очистки воздуха
Данного ОКПД 2 нет в перечне ПП 878.
Но при проверке данного КТРУ на сайте Эконом-эксперт присутствует ограничение по ПП 878";"В перечень Постановления Правительства РФ от 10 июля 2019 г. N 878 включен пункт 146, содержащий ОКПД 2 28.25.14.110 - Оборудование и установки для фильтрования или очистки воздуха. Классификатор ОКПД2 имеет иерархическую структуру и последовательный метод кодирования. Код состоит из 2-9 цифровых знаков, и его структура может быть представлена в следующем виде:
XX класс
XX.X подкласс
XX.XX группа
XX.XX.X подгруппа
XX.XX.XX вид
XX.XX.XX.XX0 категория
XX.XX.XX.XXX подкатегория
Так как подкатегория ОКПД 2 28.25.14.111 входит в категорию 28.25.14.110, то правило, установленное для категории, распространяется на все входящие в нее подкатегории. Следовательно, Постановление № 878 необходимо применять для КТРУ 28.25.14.111-00000017.
Но, если закупаемая продукция не явлеятся радиоэлектронной продукцией, на наш взгляд, Постановление №878 не применяется. Согласно абзаца 2 п. 2 Правил формирования и ведения единого реестра российской радиоэлектронной продукции (утверждены ПП №878) относятся изделия, выполняющие свои ключевые функции за счет входящих в их состав электронных компонентов и модулей. Следовательно, если объектом закупки являются товары, хотя и включенные в перечень ПП №878 (совпадают указанный в перечне код ОКПД 2 и код ОКПД 2, используемый заказчиком при проведении закупки), но по своей природе не относящиеся к радиоэлектронной продукции, ограничения по ПП №878 не устанавливаются. Данный вывод подтверждается правоприменительной практикой (см., например, решение УФАС по Краснодарскому краю от 5 апреля 2022 г. № 023/06/99-1234/2022 (извещение № 0318300445322000027), решение УФАС по Липецкой области от 22 июля 2021 г. № 048/06/99-999/2021 (извещение № 0346200000220000237), решение УФАС по Тульской области от 22 июля 2021 г. № 071/06/105-604/2021 (извещение № 0366200035621003802) , решение УФАС по Ставропольскому краю от 19 ноября 2020 г. N 026/06/64-2523/2020) (извещение № 0321300022720000003). 
В закупке по КТРУ 28.25.14.111-00000017 применяется Постановление №617, так как более укрупненный код ОКПД2 28.25.14 включен в перечень ПП №617. Случаи, когда ПП №617 не применяется указаны в п.11 ПП №617. В соответствии с подпунктом ""б"" пункта 11 ПП №617 ограничения допуска по данному постановлению не устанавливаются, если осуществляется закупка запасных частей и расходных материалов к машинам и оборудованию, используемым заказчиком в соответствии с технической документацией на указанные машины и оборудование. 
В письме Минфина России от 26.11.2021 N 24-06-08/95806 по поводу одновременного применения ПП № 617 и ПП № 878 отмечено: ""Как следует из обращения, при применении Постановления N 617 и Постановления N 878 возникает правовая неопределенность ввиду одновременного наличия кодов ОКПД 2 как в перечне, предусмотренном Постановлением N 617, так и в перечне, предусмотренном Постановлением N 878. В этой связи отмечаем, что утвержденные указанными постановлениями перечни, помимо кодов ОКПД 2, содержат конкретные наименования товаров, в связи с чем, по мнению Департамента, при применении соответствующих перечней следует руководствоваться как кодом ОКПД 2, так и наименованием товара"". В данном письме также рекомендовано в случае необходимости получения дополнительной информации по вопросу, указанному в обращении, заявитель вправе обратиться в Минпромторг России. 
В данной закупке также неоьходимо применять Приказ №126н, так как ОКПД2 28.25 (за исключением 28.25.11.120, 28.25.12.110, 28.25.12.190, 28.25.13.111, 28.25.13.112, 28.25.13.114, 28.25.13.115, 28.25.9) включен в перечни №1 и №2 к приказу №126н."
"Добрый день. Расчет НМЦК формирую. Ограничения выходят ПП РФ 617, если читать это постановление то код ОКПД2 22.22.1 Изделия пластмассовые упаковочные (за исключением контейнеров для биопроб полимерных с кодом ОКПД2 22.22.14.00., т.е. программа некорректно формирует ограничения по данному КТРУ."" 

В карточке кода 22.22.14.000-00000074 в справочной информации указан код ОКПД 22.22.14.190, по которому производится проверка на П.617, но, если мы переходим в перечень этого НПА, то там сказано ""22.22.1 Изделия пластмассовые упаковочные (за исключением контейнеров для биопроб полимерных с кодом ОКПД2 22.22.14.000)"" Насколько корректно у нас отображается информация? 
";"В перечень Постановления Правительства РФ от 30 апреля 2020 г. N 617включен пункт 74 с кодом ОКПД 2 22.22.1 - Изделия пластмассовые упаковочные (за исключением контейнеров для биопроб полимерных с кодом ОКПД2 22.22.14.000). КТРУ 22.22.14.000-00000074 - Контейнер для сбора кала ИВД, без добавок - образовано от кода ОКПД 2 22.22.14.000. В справочной информации КТРУ указаны код ОКПД 2:
- 22.22.14.190 - Бутыли, бутылки, флаконы и аналогичные изделия из пластмасс прочие;
- 32.50.50.190 - Изделия медицинские, в том числе хирургические, прочие, не включенные в другие группировки.
Код 22.22.14.190 из справочной информации данного КТРУ включен в перечнь ПП № 617, он не является исключением.
Для данного КТРУ мы выводим ограничение по ПП № 617 с подсказкой, что проверку проводим именно по справочному коду 22.22.14.190. Информация отображается корректно.
Если заказчик соотносит в извещение товар, закупаемый по КТРУ 22.22.14.000-00000074 с кодом ОКПД 2 22.22.14.000, то, на наш взгляд, ограничение допуска по ПП № 617 не устанавливается.
Однако код ОКПД 2 22.22.14.000 исключен из Классификатора ОКПД 2. Существует региональная практика, запрещающая соотносить закупаемый товар с недействующими кодами ОКПД2. В этих условиях, если заказчик укажет в извещении справочный код 22.22.14.190, на наш взгляд, ограничение допуска по ПП № 617 необходимо устанавливать."
